Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2021,Q1,January,01,National,National,Digital,Pure Play - Content,10200469
2019,Q2,June,06,Alberta,Edmonton,Magazines,Trade Magazines,8881
2023,Q1,March,03,Quebec,Saguenay,Linear Television,Specialty TV,32179
2021,Q2,May,05,Quebec,Sherbrooke,Linear Television,Specialty TV,26241
2019,Q3,August,08,National,National,Magazines,Consumer Magazines,1237254
2021,Q1,February,02,Manitoba,Winnipeg - Brandon,Radio,Spot Radio,461703
2021,Q2,June,06,Alberta,Edmonton,Radio,Other,20158
2021,Q3,July,07,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,489702
2020,Q1,January,01,Manitoba,Winnipeg - Brandon,Linear Television,Conventional TV,387072
2020,Q1,February,02,Prince Edward Island,Charlottetown,Linear Television,Conventional TV,32455
2021,Q4,October,10,National,National,Magazines,Consumer Magazines,1412664
2020,Q1,January,01,Alberta,Lloydminster,Linear Television,Specialty TV,1642
2018,Q1,February,02,Saskatchewan,Swift Current,Linear Television,Conventional TV,1269
2021,Q3,July,07,Quebec,Quebec City - Levis,Newspapers,Dailies,70762
2023,Q2,April,04,National,National,Out of Home,Billboards,3166194
2018,Q4,December,12,Alberta,Lloydminster,Linear Television,Conventional TV,11796
2019,Q3,August,08,Multi-Market,Multi-Market,Out of Home,Transit,156431
2020,Q3,August,08,Ontario,Windsor,Linear Television,Specialty TV,16293
2020,Q2,May,05,Alberta,Red Deer,Out of Home,Other,-8529
2023,Q1,January,01,Alberta,Medicine Hat,Linear Television,Conventional TV,112
2023,Q1,February,02,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Spot TV,61611
2023,Q2,April,04,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Conventional TV,39458
2023,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Community Newspaper,1091738
2018,Q3,September,09,Saskatchewan,Regina - Moose Jaw,Newspapers,Dailies,23127
2020,Q3,September,09,British Columbia,Vancouver - Victoria,Newspapers,Community Newspaper,376028
2019,Q1,March,03,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Conventional TV,243339
2022,Q3,September,09,Multi-Market,Ottawa - Gatineau,Linear Television,Specialty TV,159932
2018,Q3,September,09,Ontario,Windsor,Linear Television,Conventional TV,93453
2018,Q4,November,11,Quebec,Montreal - Laval,Magazines,Consumer Magazines,171685
2022,Q2,May,05,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,10003
2021,Q3,September,09,Quebec,Rouyn - Noranda - Val D'Or,Radio,Spot Radio,58814
2019,Q2,June,06,National,National,Newspapers,Other,6229
2020,Q2,May,05,Quebec,Quebec City - Levis,Linear Television,Spot TV,162933
2020,Q4,November,11,National,National,Digital,Pure Play - Video,6707769
2018,Q4,December,12,Quebec,Trois -Rivieres - Shawinigan,Newspapers,Community Newspaper,50813
2019,Q3,September,09,Alberta,Medicine Hat,Radio,Spot Radio,221620
2018,Q4,December,12,Ontario,Thunder Bay,Radio,Spot Radio,129306
2021,Q1,January,01,Saskatchewan,Regina - Moose Jaw,Radio,Spot Radio,97148
2020,Q3,July,07,Quebec,Chaleur Bay - Carleton,Radio,Spot Radio,33270
2021,Q4,November,11,Multi-Market,Ottawa - Gatineau,Linear Television,Spot TV,442708
